,sample_nr,type,ct,mk,ok
110,058-222,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\058-222\done\058-222 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\058-222\done\voxelizedSurfaces.rdata,True
111,058-222,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\058-222\done\058-222 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\058-222\done\voxelizedSurfaces.rdata,True
112,059M 23+3,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\059M 23+3\done\059M23+3_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\059M 23+3\done\voxelizedSurfaces.rdata,True
113,059M 23+3,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\059M 23+3\done\059M23+3_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\059M 23+3\done\voxelizedSurfaces.rdata,True
114,060-275,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\060-275\done\060-275 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\060-275\done\voxelizedSurfaces.rdata,True
115,060-275,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\060-275\done\060-275 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\060-275\done\voxelizedSurfaces.rdata,True
116,061-275,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\061-275\done\061-275 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\061-275\done\voxelizedSurfaces.rdata,True
117,061-275,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\061-275\done\061-275 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\061-275\done\voxelizedSurfaces.rdata,True
118,062F 27+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\062F 27+5\done\062F27+5_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\062F 27+5\done\voxelizedSurfaces.rdata,True
119,062F 27+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\062F 27+5\done\062F27+5_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\062F 27+5\done\voxelizedSurfaces.rdata,True
120,063-264,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\063-264\done\063-264 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\063-264\done\voxelizedSurfaces.rdata,True
121,063-264,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\063-264\done\063-264 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\063-264\done\voxelizedSurfaces.rdata,True
122,064M 23+3,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\064M 23+3\done\064M-23+3 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\064M 23+3\done\voxelizedSurfaces.rdata,True
123,064M 23+3,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\064M 23+3\done\064M-23+3 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\064M 23+3\done\voxelizedSurfaces.rdata,True
124,065-296,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\065-296\done\065-296 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\065-296\done\voxelizedSurfaces.rdata,True
125,065-296,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\065-296\done\065-296 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\065-296\done\voxelizedSurfaces.rdata,True
126,066-270,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\066-270\done\066-270 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\066-270\done\voxelizedSurfaces.rdata,True
127,066-270,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\066-270\done\066-270 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\066-270\done\voxelizedSurfaces.rdata,True
128,067F 22+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\067F 22+5\done\067F-22+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\067F 22+5\done\voxelizedSurfaces.rdata,True
129,067F 22+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\067F 22+5\done\067F-22+5 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\067F 22+5\done\voxelizedSurfaces.rdata,True
130,068M 22+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\068M 22+5\done\068M22+5_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\068M 22+5\done\voxelizedSurfaces.rdata,True
131,068M 22+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\068M 22+5\done\068M22+5_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\068M 22+5\done\voxelizedSurfaces.rdata,True
132,069M 18+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\069M 18+5\done\069M18+5_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\069M 18+5\done\voxelizedSurfaces.rdata,True
133,069M 18+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\069M 18+5\done\069M18+5_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\069M 18+5\done\voxelizedSurfaces.rdata,True
134,070M 26+1,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\070M 26+1\done\070M-26+1 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\070M 26+1\done\voxelizedSurfaces.rdata,True
135,070M 26+1,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\070M 26+1\done\070M-26+1 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\070M 26+1\done\voxelizedSurfaces.rdata,True
136,071F 24+2,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\071F 24+2\done\071F-24+2 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\071F 24+2\done\voxelizedSurfaces.rdata,True
137,071F 24+2,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\071F 24+2\done\071F-24+2 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\071F 24+2\done\voxelizedSurfaces.rdata,True
138,072F 27+3,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\072F 27+3\done\072F27+3_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\072F 27+3\done\voxelizedSurfaces.rdata,True
139,072F 27+3,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\072F 27+3\done\072F27+3_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\072F 27+3\done\voxelizedSurfaces.rdata,True
140,073F 31+4,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\073F 31+4\done\073F31+4_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\073F 31+4\done\voxelizedSurfaces.rdata,True
141,073F 31+4,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\073F 31+4\done\073F31+4_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\073F 31+4\done\voxelizedSurfaces.rdata,True
142,074-335,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\074-335\done\074-335 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\074-335\done\voxelizedSurfaces.rdata,True
143,074-335,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\074-335\done\074-335 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\074-335\done\voxelizedSurfaces.rdata,True
144,075-261,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\075-261\done\075-261 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\075-261\done\voxelizedSurfaces.rdata,True
145,075-261,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\075-261\done\075-261 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\075-261\done\voxelizedSurfaces.rdata,True
146,076-225,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\076-225\done\076-225 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\076-225\done\voxelizedSurfaces.rdata,True
147,076-225,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\076-225\done\076-225 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\076-225\done\voxelizedSurfaces.rdata,True
148,077-256,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\077-256\done\077-256 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\077-256\done\voxelizedSurfaces.rdata,True
149,077-256,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\077-256\done\077-256 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\077-256\done\voxelizedSurfaces.rdata,True
150,078-253,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\078-253\done\078-253 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\078-253\done\voxelizedSurfaces.rdata,True
151,078-253,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\078-253\done\078-253 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\078-253\done\voxelizedSurfaces.rdata,True
152,079M 19+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\079M 19+5\done\079M-19+5 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\079M 19+5\done\voxelizedSurfaces.rdata,True
153,079M 19+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\079M 19+5\done\079M-19+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\079M 19+5\done\voxelizedSurfaces.rdata,True
154,080-296,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\080-296\done\080-296 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\080-296\done\voxelizedSurfaces.rdata,True
155,080-296,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\080-296\done\080-296 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\080-296\done\voxelizedSurfaces.rdata,True
156,084-273,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\084-273\done\084-273 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\084-273\done\voxelizedSurfaces.rdata,True
157,084-273,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\084-273\done\084-273 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\084-273\done\voxelizedSurfaces.rdata,True
158,085F 25+3,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\085F 25+3\done\085F25+3_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\085F 25+3\done\voxelizedSurfaces.rdata,True
159,085F 25+3,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\085F 25+3\done\085F25+3_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\085F 25+3\done\voxelizedSurfaces.rdata,True
160,086-256,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\086-256\done\086-256 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\086-256\done\voxelizedSurfaces.rdata,True
161,086-256,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\086-256\done\086-256 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\086-256\done\voxelizedSurfaces.rdata,True
162,087-236,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\087-236\done\087-236 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\087-236\done\voxelizedSurfaces.rdata,True
163,087-236,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\087-236\done\087-236 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\087-236\done\voxelizedSurfaces.rdata,True
164,088-231,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\088-231\done\088-231 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\088-231\done\voxelizedSurfaces.rdata,True
165,088-231,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\088-231\done\088-231 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\088-231\done\voxelizedSurfaces.rdata,True
166,090-220,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\090-220\done\090-220 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\090-220\done\voxelizedSurfaces.rdata,True
167,090-220,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\090-220\done\090-220 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\090-220\done\voxelizedSurfaces.rdata,True
168,091-270,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\091-270\done\091-270 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\091-270\done\voxelizedSurfaces.rdata,True
169,091-270,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\091-270\done\091-270 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\091-270\done\voxelizedSurfaces.rdata,True
170,092M 23+3,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\092M 23+3\done\092M-23+3 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\092M 23+3\done\voxelizedSurfaces.rdata,True
171,092M 23+3,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\092M 23+3\done\092M-23+3 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\092M 23+3\done\voxelizedSurfaces.rdata,True
172,093-326,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\093-326\done\093-326 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\093-326\done\voxelizedSurfaces.rdata,True
173,093-326,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\093-326\done\093-326 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\093-326\done\voxelizedSurfaces.rdata,True
174,094-356,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\094-356\done\094-356 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\094-356\done\voxelizedSurfaces.rdata,True
175,094-356,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\094-356\done\094-356 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\094-356\done\voxelizedSurfaces.rdata,True
176,096F 20+5,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\096F 20+5\done\096F-20+5 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\096F 20+5\done\voxelizedSurfaces.rdata,True
177,096F 20+5,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\096F 20+5\done\096F-20+5 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\096F 20+5\done\voxelizedSurfaces.rdata,True
178,104-374,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\104-374\done\104-374 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\104-374\done\voxelizedSurfaces.rdata,True
179,104-374,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\104-374\done\104-374 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\104-374\done\voxelizedSurfaces.rdata,True
180,105-323,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\105-323\data\105-323 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\105-323\done\voxelizedSurfaces.rdata,False
181,105-323,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\105-323\data\105-323 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\105-323\done\voxelizedSurfaces.rdata,False
182,106-341,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\106-341\done\106-341 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\106-341\done\voxelizedSurfaces.rdata,True
183,106-341,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\106-341\done\106-341 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\106-341\done\voxelizedSurfaces.rdata,True
184,107M 19+2,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\107M 19+2\done\107M-19+2 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\107M 19+2\done\voxelizedSurfaces.rdata,True
185,107M 19+2,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\107M 19+2\done\107M-19+2 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\107M 19+2\done\voxelizedSurfaces.rdata,True
186,109M 21+3,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\109M 21+3\done\109M-21+3 _CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\109M 21+3\done\voxelizedSurfaces.rdata,True
187,109M 21+3,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\109M 21+3\done\109M-21+3 _CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\109M 21+3\done\voxelizedSurfaces.rdata,True
188,KAP 104,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\KAP 104\done\KAP104_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\KAP 104\done\voxelizedSurfaces.rdata,True
189,KAP 104,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\KAP 104\done\KAP104_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\KAP 104\done\voxelizedSurfaces.rdata,True
190,KAP 303,DATA_0,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\KAP 303\done\KAP303_CT - Cropped.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\KAP 303\done\voxelizedSurfaces.rdata,True
191,KAP 303,DATA_1,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\KAP 303\done\KAP303_CT - Cropped_1.rdata,D:\Kozmin\jadrakostnienia2024\jadrakostnienia2024\KAP 303\done\voxelizedSurfaces.rdata,True
